categoria,marca,nome_prodotto,prezzo_effettivo,prezzo_ordinario,url_prodotto,colonna_separata,modello,sport,colori
Scarpe Sportive Uomo Mizuno,MIZUNO,NEO ZEN - Scarpe da corsa su strada - mint,"149,99","149,99",https://www.zalando.it/mizuno-neo-zen-scarpe-da-corsa-su-strada-mint-m2742a0lg-m11.html,"['NEO ZEN ', ' Scarpe da corsa su strada ', ' mint']",NEO ZEN , Scarpe da corsa su strada , mint
Scarpe Sportive Uomo Mizuno,MIZUNO,WAVE SKY 8 - Scarpe da corsa su strada - blue mint,"189,99","189,99",https://www.zalando.it/mizuno-wave-sky-8-scarpe-da-corsa-su-strada-blue-mint-m2742a0jb-k11.html,"['WAVE SKY 8 ', ' Scarpe da corsa su strada ', ' blue mint']",WAVE SKY 8 , Scarpe da corsa su strada , blue mint
Scarpe Sportive Uomo Mizuno,MIZUNO,WAVE DIMENSION - Scarpe da pallavolo - black/neon flame/peacock blue,"89,99","99,99",https://www.zalando.it/mizuno-wave-dimension-scarpe-da-pallavolo-blackneon-flamepeacock-blue-m2742a0fc-q11.html,"['WAVE DIMENSION ', ' Scarpe da pallavolo ', ' black/neon flame/peacock blue']",WAVE DIMENSION , Scarpe da pallavolo , black/neon flame/peacock blue
Scarpe Sportive Uomo Mizuno,MIZUNO,THUNDER BLADE Z MID - Scarpe da pallavolo - white/bellwether blue/bel air blue,"75,99","89,99",https://www.zalando.it/mizuno-thunder-blade-z-mid-scarpe-da-pallavolo-whitebellwether-bluebel-air-blue-m2742a0gr-a14.html,"['THUNDER BLADE Z MID ', ' Scarpe da pallavolo ', ' white/bellwether blue/bel air blue']",THUNDER BLADE Z MID , Scarpe da pallavolo , white/bellwether blue/bel air blue
Scarpe Sportive Uomo Mizuno,MIZUNO,WAVE DRIVE NEO 3 - Scarpe da pallavolo - white/black/racing yellow,"119,99","149,99",https://www.zalando.it/mizuno-wave-drive-neo-3-scarpe-da-pallavolo-whiteblackracing-yellow-m2742a0ha-a11.html,"['WAVE DRIVE NEO 3 ', ' Scarpe da pallavolo ', ' white/black/racing yellow']",WAVE DRIVE NEO 3 , Scarpe da pallavolo , white/black/racing yellow
Scarpe Sportive Uomo Mizuno,MIZUNO,MORELIA NEO IV Β ELITE - Scarpe da calcetto con tacchetti - white/neon green/cool gray,"177,99","209,99",https://www.zalando.it/mizuno-morelia-neo-iv-elite-scarpe-da-calcetto-con-tacchetti-whiteneon-greencool-gray-m2742a0jv-a11.html,"['MORELIA NEO IV Β ELITE ', ' Scarpe da calcetto con tacchetti ', ' white/neon green/cool gray']",MORELIA NEO IV Β ELITE , Scarpe da calcetto con tacchetti , white/neon green/cool gray
Scarpe Sportive Uomo Mizuno,MIZUNO,WAVE DAICHI 9  - Scarpe da trail running - black/grey,"159,99","159,99",https://www.zalando.it/mizuno-wave-daichi-9-scarpe-da-trail-running-blackgrey-m2742a0l7-q11.html,"['WAVE DAICHI 9  ', ' Scarpe da trail running ', ' black/grey']",WAVE DAICHI 9  , Scarpe da trail running , black/grey
Scarpe Sportive Uomo Mizuno,MIZUNO,WAVE VOLTAGE 2 UNISEX - Scarpe da pallavolo - white/blue,"107,99","119,99",https://www.zalando.it/mizuno-wave-voltage-2-scarpe-da-pallavolo-whiteblue-m2742a0ip-a12.html,"['WAVE VOLTAGE 2 UNISEX ', ' Scarpe da pallavolo ', ' white/blue']",WAVE VOLTAGE 2 UNISEX , Scarpe da pallavolo , white/blue
Scarpe Sportive Uomo Mizuno,MIZUNO,WAVE SKY 6 - Scarpe da corsa su strada - white/cyber yellow,"161,99","180,00",https://www.zalando.it/mizuno-wave-sky-6-scarpe-running-neutre-whitecyber-yellow-m2742a0ev-a11.html,"['WAVE SKY 6 ', ' Scarpe da corsa su strada ', ' white/cyber yellow']",WAVE SKY 6 , Scarpe da corsa su strada , white/cyber yellow
Scarpe Sportive Uomo Mizuno,MIZUNO,WAVE LIGHTNING Z8 MID - Scarpe da pallavolo - black/neon flame/peacock blue,"152,99","169,99",https://www.zalando.it/mizuno-wave-lightning-z8-mid-scarpe-da-pallavolo-blackneon-flamepeacock-blue-m2742a0ho-q11.html,"['WAVE LIGHTNING Z8 MID ', ' Scarpe da pallavolo ', ' black/neon flame/peacock blue']",WAVE LIGHTNING Z8 MID , Scarpe da pallavolo , black/neon flame/peacock blue
Scarpe Sportive Uomo Mizuno,MIZUNO,WAVE DIMENSION - Scarpe da pallavolo - white/bellwether blue/bel air blue,"89,99","99,99",https://www.zalando.it/mizuno-wave-dimension-scarpe-da-pallavolo-whitebellwether-bluebel-air-blue-m2742a0fc-a14.html,"['WAVE DIMENSION ', ' Scarpe da pallavolo ', ' white/bellwether blue/bel air blue']",WAVE DIMENSION , Scarpe da pallavolo , white/bellwether blue/bel air blue
Scarpe Sportive Uomo Mizuno,MIZUNO,WAVE ENFORCE COURT ALLCOURT - Scarpe da tennis per tutte le superfici - white/vintage indigo/neo mint,"98,99","109,99",https://www.zalando.it/mizuno-wave-enforce-court-allcourt-scarpe-da-tennis-per-tutte-le-superfici-whitevintage-indigoneo-mint-m2742a0jh-a12.html,"['WAVE ENFORCE COURT ALLCOURT ', ' Scarpe da tennis per tutte le superfici ', ' white/vintage indigo/neo mint']",WAVE ENFORCE COURT ALLCOURT , Scarpe da tennis per tutte le superfici , white/vintage indigo/neo mint
Scarpe Sportive Uomo Mizuno,MIZUNO,CYCLONE SPEED 5 - Scarpe da pallavolo - white/blue,"57,99","64,99",https://www.zalando.it/mizuno-cyclone-speed-5-scarpe-da-pallavolo-whiteblue-m2742a0l8-a11.html,"['CYCLONE SPEED 5 ', ' Scarpe da pallavolo ', ' white/blue']",CYCLONE SPEED 5 , Scarpe da pallavolo , white/blue
Scarpe Sportive Uomo Mizuno,MIZUNO,WAVE ENFORCE - da tennis per terra battuta - white estateblue riverblue,"97,00","110,00",https://www.zalando.it/mizuno-da-tennis-per-terra-battuta-white-estateblue-riverblue-m2742a0lz-a11.html,"['WAVE ENFORCE ', ' da tennis per terra battuta ', ' white estateblue riverblue']",WAVE ENFORCE , da tennis per terra battuta , white estateblue riverblue
Scarpe Sportive Uomo Mizuno,MIZUNO,WAVE INSPIRE 21 - Scarpe da corsa su strada - black/silver/metallic gray,"159,99","159,99",https://www.zalando.it/mizuno-wave-inspire-21-scarpe-da-corsa-su-strada-blacksilvermetallic-gray-m2742a0l1-q11.html,"['WAVE INSPIRE 21 ', ' Scarpe da corsa su strada ', ' black/silver/metallic gray']",WAVE INSPIRE 21 , Scarpe da corsa su strada , black/silver/metallic gray
Scarpe Sportive Uomo Mizuno,MIZUNO,WAVE MOMENTUM 3 - Scarpe da pallavolo - white/bellwether blue/bel air blue,"143,99","169,99",https://www.zalando.it/mizuno-wave-momentum-3-scarpe-da-pallavolo-whitebellwether-bluebel-air-blue-m2742a0gs-a14.html,"['WAVE MOMENTUM 3 ', ' Scarpe da pallavolo ', ' white/bellwether blue/bel air blue']",WAVE MOMENTUM 3 , Scarpe da pallavolo , white/bellwether blue/bel air blue
Scarpe Sportive Uomo Mizuno,MIZUNO,MORELIA NEO IV Β ELITE - Scarpe da calcetto con tacchetti - galaxy silver/cool gray,"200,00","200,00",https://www.zalando.it/mizuno-morelia-neo-iv-elite-scarpe-da-calcetto-con-tacchetti-galaxy-silvercool-gray-m2742a0jv-d11.html,"['MORELIA NEO IV Β ELITE ', ' Scarpe da calcetto con tacchetti ', ' galaxy silver/cool gray']",MORELIA NEO IV Β ELITE , Scarpe da calcetto con tacchetti , galaxy silver/cool gray
Scarpe Sportive Uomo Mizuno,MIZUNO,WAVE LIGHTNING Z8 - Scarpe da pallavolo - black/neon flame/peacock blue,"127,99","159,99",https://www.zalando.it/mizuno-wave-lightning-z8-scarpe-da-pallavolo-blackneon-flamepeacock-blue-m2742a0lf-q11.html,"['WAVE LIGHTNING Z8 ', ' Scarpe da pallavolo ', ' black/neon flame/peacock blue']",WAVE LIGHTNING Z8 , Scarpe da pallavolo , black/neon flame/peacock blue
Scarpe Sportive Uomo Mizuno,MIZUNO,WAVE RIDER 28 - Scarpe da corsa su strada - neo mint/frontier blue/vintage indigo,"159,99","159,99",https://www.zalando.it/mizuno-wave-rider-28-scarpe-da-corsa-su-strada-neo-mintfrontier-bluevintage-indigo-m2742a0ja-m12.html,"['WAVE RIDER 28 ', ' Scarpe da corsa su strada ', ' neo mint/frontier blue/vintage indigo']",WAVE RIDER 28 , Scarpe da corsa su strada , neo mint/frontier blue/vintage indigo
Scarpe Sportive Uomo Mizuno,MIZUNO,WAVE ENFORCE COURT - Scarpe da padel - salute/hibiscus/enamel blue,"98,99","109,99",https://www.zalando.it/mizuno-wave-enforce-court-scarpe-da-padel-salutehibiscusenamel-blue-m2742a0jk-q11.html,"['WAVE ENFORCE COURT ', ' Scarpe da padel ', ' salute/hibiscus/enamel blue']",WAVE ENFORCE COURT , Scarpe da padel , salute/hibiscus/enamel blue
Scarpe Sportive Uomo Mizuno,MIZUNO,WAVE LIGHTNING Z8 MID - Scarpe da pallavolo - white/bellwether blue/bel air blue,"135,99","169,99",https://www.zalando.it/mizuno-wave-lightning-z8-mid-scarpe-da-pallavolo-whitebellwether-bluebel-air-blue-m2742a0ho-a13.html,"['WAVE LIGHTNING Z8 MID ', ' Scarpe da pallavolo ', ' white/bellwether blue/bel air blue']",WAVE LIGHTNING Z8 MID , Scarpe da pallavolo , white/bellwether blue/bel air blue
Scarpe Sportive Uomo Mizuno,MIZUNO,WAVE EXCEED LIGHT 2 - da tennis per terra battuta - bellwether blue/white/fjord blue,"99,99","124,99",https://www.zalando.it/mizuno-wave-exceed-light-2-da-tennis-per-terra-battuta-bellwether-bluewhitefjord-blue-m2742a0jj-k11.html,"['WAVE EXCEED LIGHT 2 ', ' da tennis per terra battuta ', ' bellwether blue/white/fjord blue']",WAVE EXCEED LIGHT 2 , da tennis per terra battuta , bellwether blue/white/fjord blue
Scarpe Sportive Uomo Mizuno,MIZUNO,MORELIA NEO IV PRO - Scarpe da calcetto con tacchetti - black/galaxy silver/black,"77,99","129,99",https://www.zalando.it/mizuno-morelia-neo-iv-pro-scarpe-da-calcetto-con-tacchetti-blackgalaxy-silverblack-m2742a0hr-q11.html,"['MORELIA NEO IV PRO ', ' Scarpe da calcetto con tacchetti ', ' black/galaxy silver/black']",MORELIA NEO IV PRO , Scarpe da calcetto con tacchetti , black/galaxy silver/black
Scarpe Sportive Uomo Mizuno,MIZUNO,WAVE INSPIRE 21 - Scarpe da corsa su strada - dark blue/white,"159,99","159,99",https://www.zalando.it/mizuno-wave-inspire-21-scarpe-da-corsa-su-strada-dark-bluewhite-m2742a0l1-k11.html,"['WAVE INSPIRE 21 ', ' Scarpe da corsa su strada ', ' dark blue/white']",WAVE INSPIRE 21 , Scarpe da corsa su strada , dark blue/white
Scarpe Sportive Uomo Mizuno,MIZUNO,MONARCIDA NEO III - Scarpe da calcetto con tacchetti - white/neon green,"69,99","69,99",https://www.zalando.it/mizuno-monarcida-neo-iii-scarpe-da-calcetto-con-tacchetti-whiteneon-green-m2742a0jz-a11.html,"['MONARCIDA NEO III ', ' Scarpe da calcetto con tacchetti ', ' white/neon green']",MONARCIDA NEO III , Scarpe da calcetto con tacchetti , white/neon green
Scarpe Sportive Uomo Mizuno,MIZUNO,WAVE EXCEED LIGHT 2 PADEL - Scarpe da padel - anthracite/mottled red/blue,"124,99","124,99",https://www.zalando.it/mizuno-wave-exceed-light-2-padel-scarpe-da-padel-anthracitemottled-redblue-m2742a0gn-q11.html,"['WAVE EXCEED LIGHT 2 PADEL ', ' Scarpe da padel ', ' anthracite/mottled red/blue']",WAVE EXCEED LIGHT 2 PADEL , Scarpe da padel , anthracite/mottled red/blue
Scarpe Sportive Uomo Mizuno,MIZUNO,MONARCIDA NEO III - Scarpe da calcetto con tacchetti - galaxy silver,"69,99","69,99",https://www.zalando.it/mizuno-monarcida-neo-iii-scarpe-da-calcetto-con-tacchetti-galaxy-silver-m2742a0jz-d11.html,"['MONARCIDA NEO III ', ' Scarpe da calcetto con tacchetti ', ' galaxy silver']",MONARCIDA NEO III , Scarpe da calcetto con tacchetti , galaxy silver
Scarpe Sportive Uomo Mizuno,MIZUNO,MORELIA NEO IV Β ELITE - Scarpe da calcio con tacchetti - white/neon green/cool gray,"186,99","219,99",https://www.zalando.it/mizuno-morelia-neo-iv-elite-scarpe-da-calcio-con-tacchetti-whiteneon-greencool-gray-m2742a0jt-a11.html,"['MORELIA NEO IV Β ELITE ', ' Scarpe da calcio con tacchetti ', ' white/neon green/cool gray']",MORELIA NEO IV Β ELITE , Scarpe da calcio con tacchetti , white/neon green/cool gray
